Provinsi,TipeFaskes,KodeFaskes,NamaFaskes,AlamatFaskes,TelpFaskes
Jambi,Rumah Sakit,0508R001,RSUD S.Thaha Saifuddin Tebo                                            ,S.Thaha Saifuddin  Km 4 M.Tebo, 0744-21727
Jambi,Puskesmas,800001,Teluk Lancang                                            ,Teluk Lancang,8116611231
Jambi,Klinik Utama,0080U006,dr. Yuli Anggraini                                            ,Pancuran Gading , 62-074421255
Jambi,Klinik Pratama,800006,Klinik Bhayangkara Polres Tebo                                            ,Jln Sultan Thaha No 01 Purwoda, 0744-21408
Jambi,Apotek,0508A002,Instalasi Farmasi Rsud Tebo                                            ,S.Thaha Saifuddin Km 4 Ma.Tebo,74421727
Jambi,Rumah Sakit,0081R003,RSU Bersaudara                                            ,Lintas Sumatera Km 04 Simp.Skb, 0747-323535
Jambi,Puskesmas,810001,Air Gemuruh                                            ,Jl Tanah Tumbuh Ds Air Gemuruh,81363178088
Jambi,Dokter Praktik Perorangan,0081S001,Klinik Mata Indira                                            ,Jalan Jenderal Sudirman No. 76, 0747-322576
Jambi,Klinik Utama,0081U010,dr. RUMIYATI                                            ,Teuku Umar,85263085407
Jambi,Klinik Pratama,810004,Poskes 02.10.11 M. Bungo                                            ,Jl. Sapta Marga,85266414197
Jambi,Apotek,0081A010,Apotek Mecca Farma                                            ,Lebai Hasan,85272010016
Jambi,Rumah Sakit,0082R003,RSUD Abdul Manap                                            ,Jl. Sk. Rd. Syahbuddin, 0741-5910180
Jambi,Puskesmas,5010101,Putri Ayu                                            ,Jl. Slamet Riyadi No 2 , (0741)-3066445
Jambi,Dokter Praktik Perorangan,0082S026,Klinik Mata Kambang                                            ,Kol. Amir Hamzah No : 21-23,74163879
Jambi,Klinik Utama,0082U003,dr. ERMILDA SRIWASTUTI                                            ,Jl.M.Yamin. Lebak Bandung,8127455283
Jambi,Klinik Pratama,0082B003,Klinik Benteng                                            ,Sultan Agung 1B Beringin ,7417554525
Jambi,Apotek,0082A017,IFRS H. Abdul Manap                                    ,Abdul Manap,
Jambi,Rumah Sakit,0506R001,RSU Mayjen H. A.Thalib Kerinci                                            ,Basuki Rahmat, 0748-21285
Jambi,Puskesmas,4850001,Tanah Kampung                                            ,Tanah Kampung,85266541684
Jambi,Klinik Utama,0485U001,dr. Yeni Lefrina                                            ,Kompleks Cangking Indah No 5 ,8122163445
Jambi,Klinik Pratama,4850005,Rumkitban 02.09.04 Krinci                                            ,Jl. Ahmad Yani 1 Sungai Penuh,82175656120
Jambi,Apotek,0485A003,Apotek Sari                                    ,Cokro Aminoto No 33,
Sumatera Selatan,Rumah Sakit,0083R001,Rumkit Dr. Noesmir Baturaja                                            ,Jl. Dr. Moh Hatta No 64 Bakung, 0735-320123
Sumatera Selatan,Puskesmas,830001,Tanjung Agung Oku                                            ,Jl. Kol. Burlian Ni 121,
Sumatera Selatan,Klinik Utama,0083U009,dr. SRIWIYANTI                                            ,Jl. A.R Hamidi No.757 Baturaja, 0735-321492
Sumatera Selatan,Klinik Pratama,830009,Klinik Polres Oku                                            ,Jl. S. Parman No. 1, 628-0812737559
Sumatera Selatan,Apotek,0083A001,Instalasi Farmasi Rs Noesmir                                            ,Jl Dr Moh Hatta 64,
Sumatera Selatan,Rumah Sakit,0603R001,RSUD Kayu Agung                                            ,Jl. Letjend Yusuf Singedekane , 0712-323889
Sumatera Selatan,Puskesmas,840001,Muara Burnai                                            ,Desa Muara Burnai ,81273792287
Sumatera Selatan,Klinik Utama,0084U001,Dr PENDI R SYAM                                            ,Jl Lintas Timur Blok E, 0712-081367570
Sumatera Selatan,Klinik Pratama,840005,Poskes 02.10.02 Kayuagung                                            ,Jl. Letnan Darma Jambi,
Sumatera Selatan,Apotek,0084A003,If Rsud Kayuagung                                            ,Jl. Raya Lintas Timur Ky Agung,712323889
Sumatera Selatan,Rumah Sakit,0085R009,RS Bukit Asam Medika                                    ,JL. Raya Bukit Asam No 118, 0734-451204
Sumatera Selatan,Puskesmas,850103,Kota Muara Enim                                            ,Jl. Dr.Ak Gani Kel. Tungkal,811716620
Sumatera Selatan,Klinik Utama,0085U001,dr.ERVANA IKHA YUSNITA                                            ,Jl. Raya Talang Gabus ,82214462312
Sumatera Selatan,Klinik Pratama,850007,Poskes 02.10.04 Kr Endah                                            ,Jl. Raya Palembang Prabumulih,82377472254
Sumatera Selatan,Apotek,0085A004,Apotek Ibnu Sehat                                            ,Jl. Saringan No.678,7347012323
Sumatera Selatan,Rumah Sakit,0086R001,RS Dkt Lahat                                            ,Jl. Letjen Haroen Sohar No. 26, 0731-326195
Sumatera Selatan,Puskesmas,860001,Pagar Gunung                                            ,Jl.Lintas Pagar Gunung-Mulak ,85368611803
Sumatera Selatan,Klinik Utama,0086U001,Dr. M. Qomaruddin Imron                                            ,Kec. Tanjung Sakti Pumi,8127865627
Sumatera Selatan,Klinik Pratama,860007,Klinik Polres Lahat                                            ,Jl. Bhayangkara No. 1,
Sumatera Selatan,Apotek,0086A001,Insfar Rsud Lahat                                    ,Jl. Letjen Harun Sohar,731321785
Sumatera Selatan,Rumah Sakit,0087R004,RSUD Muara Beliti                                    , Jl. Pangeran Moehamad Amin Ko, 0733-4540076
Sumatera Selatan,Puskesmas,870002,Pian Raya                                            ,Desa Pian Raya Sp X Hti, 0813-77476199
Sumatera Selatan,Klinik Utama,0087U007,dr. JERI AFRIMANDO                                            ,Jl. Jend. Sudirman,8127195131
Sumatera Selatan,Klinik Pratama,870005,Klinik Polres Musi Rawas                                            ,"Jl. Lintas Sumatera Km 12,5",
Sumatera Selatan,Apotek,0087A002,Inst. Farmasi Rs Dr Sobirin                                    ,Jl Yos Sudarso No 13, 0733-321013
Sumatera Selatan,Rumah Sakit,0088R002,RSUD Bayung Lincir                                            ,Jl. Raya Palembang Jambi Km. 2,8137360730
Sumatera Selatan,Puskesmas,880001,Ulak Paceh                                            ,Desa Ulak Paceh,81369243482
Sumatera Selatan,Klinik Utama,0088U003,Dr. ICHSAN NUR HAMDAN                                            ,Jl. Sekolahan,81368153791
Sumatera Selatan,Klinik Pratama,880006,Bp Polres Musi Banyuasin                                            ,Jl. Merdeka No. 494,81377904779
Sumatera Selatan,Apotek,0088A003,If Rsud Bayung Lincir                                            ,Jl. Raya Palembang Jambi,8136710109
Sumatera Selatan,Rumah Sakit,0089R002,RS Ar Bunda                                            ,Garuda No.245,733324955
Sumatera Selatan,Puskesmas,890105,Swasti Saba                                            ,Jl. Bromo,8136866034
Sumatera Selatan,Klinik Utama,0089U001,Dr Lisa Septi Rita                                            ,Jl. Kelabat No. 122,8192222264
Sumatera Selatan,Klinik Pratama,890003,Rumkitban 02.09.02 Lubuk L                                            ,Jl. Garuda No. 6 Lubuk Linggau,81288575793
Sumatera Selatan,Apotek,0089A003,Insfar Rs Ar Bunda                                    ,Garuda Gg Delima No 245,733324963
Sumatera Selatan,Rumah Sakit,0090R010,Rsk Paru-Paru                                            ,Jl Merdeka No 10, 0711-352010
Sumatera Selatan,Puskesmas,900001,Alang-Alang Lebar                                            ,"Jl. Gubernur H. Ali Amin, Sh ", +62 8163283478
Sumatera Selatan,Klinik Utama,0090B037,Bp Dr. Edy Sapada                                            ,Jl. Kasnariansah No. 1627,711417242
Sumatera Selatan,Klinik Pratama,900003,Klinik Makodam Ii/Swj                                            ,"Jl. Jenderal Sudirman Km 3,5", 0711-312255
Sumatera Selatan,Apotek,0090A014,Apotik Sehat Bersama                                            ,"Jl Jend Sudirman Km 3,5",711379307
Sumatera Selatan,Rumah Sakit,0091R005,RS. Fadilah                                            ,Jl. Jend Sudirman No.01, 0713-3300032
Sumatera Selatan,Puskesmas,910402,Tanjung Rambang                                            ,"Jl. Prabumulih Batu Raja, Kec.",85279744168
Sumatera Selatan,Klinik Utama,0091U003,dr. DWINTA INAYASARI                                            ,Jl. Angkatan 45 No.18,81367377714
Sumatera Selatan,Klinik Pratama,910002,Klinik Polres Prabumulih                                            ,Jl. Lingkar Timur,8127315718
Sumatera Selatan,Apotek,0091A006,Instalasi Farmasi Rs Fadhilah                                            ,Jl Prabumulih, (0713) 330032
Sumatera Selatan,Rumah Sakit,0613R001,RSUD Besemah                                            ,Ais Nasution No.03, 0730-621036
Sumatera Selatan,Puskesmas,920102,Pengaringan                                            ,Jl. Pengaringan,81367092562
Sumatera Selatan,Klinik Utama,0092U005,Dr. Dian Netha Inggriani                                            ,Jalan Mayor Ruslan No. 43,8127808311
Sumatera Selatan,Klinik Pratama,920001,Poskes 02.10.05 Pagaralam                                            ,Jl. Kapten Sanaf N0. 32,
Sumatera Selatan,Apotek,0092A002,Insfar Rs Basemah                                    ,ais nasution kota pagaralam,730621798
Sumatera Selatan,Rumah Sakit,0614R001,RS Kusta Rivai Abdulah                                            ,Jl. Dr Rivai Abdullah Mariana, 0711-753 720
Sumatera Selatan,Puskesmas,3750001,Sumber                                            ,Desa Teluk Betung,8127814459
Sumatera Selatan,Klinik Utama,0375U001,Dr ISFERIYANTO                                            ,Jl. Palembang Betung Km. 18 ,81373999445
Sumatera Selatan,Klinik Pratama,3750005,Sikes Mayonzikon 12                                            ,Jl. Palembang Jambi Km 45,8127341454
Sumatera Selatan,Apotek,0375A002,Ins. Farmasi Rsud Banyuasin                                            ,Jl Raya Palembang-Betung Km 48, (0711) 8916
Sumatera Selatan,Rumah Sakit,0429R001,RSUD Ogan Ilir                                            ,Komp. Perkantoran Pemda Ogan I, 0812-71747743
Sumatera Selatan,Puskesmas,4290001,Betung                                            ,Betung, 0812-73030712
Sumatera Selatan,Dokter Praktik Perorangan,0429S001,Klinik Utama Sehat Sejahtera                                            ,Jl. Lintas Timur Km.33 Samping, 0711-581976
Sumatera Selatan,Klinik Utama,0429U003,"Dr Hj Siska Susanti M,Kes                                            ",Jl Muhajirin No 112,82380880133
Sumatera Selatan,Klinik Pratama,4290008,Bp Polres Ogan Ilir                                            ,Jl.Raya Plbg - Prabu Km 35,81373004698
Sumatera Selatan,Apotek,0429A001,Apotek Robi Farma                                    ,Jl. Lintas Timur 36,81291865050
Sumatera Selatan,Rumah Sakit,0431R002,RSUD Martapura                                            ,Jln. Adiwiyata Kota Baru Lengo, 0735-481004
Sumatera Selatan,Puskesmas,4310001,Burnai Mulia                                            ,Desa Burnai Mulia,85380402654
Sumatera Selatan,Klinik Utama,0431U002,dr. INDAH FAJARWATI                                            ,Jl. Merdeka No. 794,8153563838
Sumatera Selatan,Klinik Pratama,4310002,Klinik Polres Oku Timur                                            ,Jl. L Sumatera Km 5 Kota Baru,81278721066
Sumatera Selatan,Apotek,0431A003,Apotek 3F Medika                                            ,Jl. Dahlia No.748,81271059313
Sumatera Selatan,Rumah Sakit,0432R001,RSUD Muara Dua                                            ,Jl.Raya Ranau Bumi Agung Jaya , 0822-79138430
Sumatera Selatan,Puskesmas,4320001,Bpr Ranau Tengah                                            ,Desa Simpang Sender,8136826059
Sumatera Selatan,Klinik Utama,0432U002,dr. Zakiyah                                            ,Jl. Raya - Ranau, 0821-75448244
Sumatera Selatan,Klinik Pratama,4320005,Klinik Oku Selatan                                            ,"Jl. Raya Buay Sandang Aji, Gun", 0821-79444960
Sumatera Selatan,Apotek,0432A002,Apotek Ilham                                            ,Jl. Mt Haryono Pasar Muaradua,81377881004
Sumatera Selatan,Rumah Sakit,0451R000,RSUD Tebing Tinggi                                            ,RSUD Tebing Tinggi Jln.Noedin , 0702-21047
Sumatera Selatan,Puskesmas,6080301,Tebing Tinggi                                            ,"Jln.Tebing Benteng Kel.Kupang,",70221722
Sumatera Selatan,Klinik Utama,0451U004,Dr Dessy Yusmianti 2                                            ,Tebing Tinggi,8127117585
Sumatera Selatan,Klinik Pratama,0451B001,Klinik Dzahira Medika                                    ,Jl. Jati Pendopo, 62-08127177585
Sumatera Selatan,Apotek,0451A002,InsFar RSUD Tebing TInggi                                    ,Jl. Tebing Benteng No 1,70221047
Sumatera Selatan,Rumah Sakit,0609R006,RS Talang Ubi                                            ,Jalan Taman Siswa, 0713-390566
Sumatera Selatan,Puskesmas,850002,Simpang Babat                                            ,Ds Simpang Babat, 0823-76447921
Sumatera Selatan,Dokter Praktik Perorangan,0515S001,Klinik Utama Pertamedika Pndpo                                            ,Jl Cemara No 86 Komperta, 0713-384202
Sumatera Selatan,Klinik Utama,0085U014,dr. ENGGAR PRASETYO                                            ,Jl. Taman Siswa No.095, 0852-67029343
Sumatera Selatan,Klinik Pratama,0515B001,Klinik Fp Pertamedika Pendopo                                            ,Jalan Pangkalan Susu Komperta , 0713-384416
Sumatera Selatan,Apotek,0085A009,Apotek Bhayangkara                                            ,Jl. Taman Siswa Talang Ubi,8127800847
Sumatera Selatan,Rumah Sakit,0087R002,RSUD Rupit                                            ,Jl. Kesehatan No. 01, 0733-4100217
Sumatera Selatan,Puskesmas,6070401,Muara Rupit                                            ,Jl. Melati Pasar Lawang Agung,85377244571
Sumatera Selatan,Klinik Utama,0087U004,Dr. HENNY                                    ,Jl. Kesehatan Dusun 7,82118152600
Sumatera Selatan,Apotek,0087A001,Instalasi Farmasi Rsud Rupit                                    ,Muara Rupit,7334100217
Bengkulu,Rumah Sakit,0094R001,RSU As-Syifa                                    ,Jl Gerak Alam, 0739-21888
Bengkulu,Puskesmas,940002,Anggut (Bkl Selatan)                                            ,Desa Anggut Kec Pino Kab. B.S,
Bengkulu,Klinik Utama,0094U001,dr. Ariyozwarsyah                                            ,Jl.Jenderal A.Yani No.29, 0-081369324321
Bengkulu,Klinik Pratama,940003,Klinik Pratama BPJS Hesti 3                                            ,Jl. Bupati Baksir, 0-08123611095
Bengkulu,Apotek,0094A009,If Klinik Utama As-Syifa                                            ,JL Raya Kalipah,
Bengkulu,Rumah Sakit,0703R001,RSUD Curup                                            ,Jl.Basuki Rahmat No.10 Curup, (0732) 23338
Bengkulu,Puskesmas,950001,Curup Timur                                            ,Kecamatan Curup Timur,85368733388
Bengkulu,Dokter Praktik Perorangan,0095S001,Klinik Utama An-nissa                                            ,Lintas Curup-Lubuk Linggau, 628-0852671744
Bengkulu,Klinik Utama,0095U015,Dr. Nici Apriyanti                                            ,Jl.Adiyaksa Gang Damai No.5 ,8153905697
Bengkulu,Klinik Pratama,950005,Klinik Pratama BPJS Hesti 2                                            ,Jl. Zainal Bhakti, 0852-89996074
Bengkulu,Apotek,0095A005,Sehat Bersama Ii                                            ,"Jl. Basuki Rahmat, Curup",8117307693
Bengkulu,Rumah Sakit,0096R004,RS Hanna Charitas                                            ,Jl Ir Soekarno Rama Agung No.1,737322300
Bengkulu,Puskesmas,960001,Air Padang                                            ,Jl. Raya Muning Kimas, 0852-73470558
Bengkulu,Klinik Utama,0096U002,dr. Ramasinta Leliana P                                            ,Jl. Moh Hatta Rama Agung Arga,8126570869
Bengkulu,Klinik Pratama,960003,Bhayangkara Medika 7                                            ,Jl. Prof. Yamin,85268876125
Bengkulu,Apotek,0096A001,Insfar Hana Charitas                                            ,Jl Ir Soekarno No 12 Rama Agun, 0737-522300
Bengkulu,Rumah Sakit,0097R009,RSUD Kota Bengkulu                                            ,Jalan Basuki Rahmat , 0736-345100
Bengkulu,Puskesmas,970001,Penurunan                                            ,Jl.Putri Gading Cempaka, 0-085269265243
Bengkulu,Klinik Utama,0097U002,dr. Alex Wijaya                                            ,Jl Merapi Raya (Depan Masjid Al-A'Raf), 0736-7328407
Bengkulu,Klinik Pratama,970003,Bhayangkara Medika 3                                            ,Jalan Ahmad Yani No 1 (Polres, 0736-7313992
Bengkulu,Apotek,0097A002,IF RSUD dr. M. Yunus                                            ,Jln. Bhayangkara,
Bengkulu,Rumah Sakit,0705R001,RSUD Muko-Muko                                            ,Jl.Danau Nibung Kota Praja ,73771148
Bengkulu,Puskesmas,4000001,Teras Terunjam                                            ,Desa Teras Terunjam, 0823-74083522
Bengkulu,Klinik Utama,0400U003,dr. SILVYA DWI JAYATRI                                            ,Jln. Jendral Sudirman, 0-08126773556
Bengkulu,Klinik Pratama,4000002,Bhayangkara Medika 12                                            ,Polres Mukomuko, 0821-7964876
Bengkulu,Apotek,0400A001,If Rsud Mukomuko                                            ,jalan Danau Nibung Kota Praja, 0737-71148
Bengkulu,Rumah Sakit,0706R001,RSUD Tais                                            ,Jalan Raya Bengkulu-Manna Km64, 0736-91285
Bengkulu,Puskesmas,4010001,Riak Siabun                                            ,"Riak Siabun, Sukaraja", 0736-91260
Bengkulu,Dokter Praktik Perorangan,0401S001,Klinik Utama Harapan Mitra                                    ,Jl.Babatan , 0763-5514333
Bengkulu,Klinik Utama,0401U002,dr. Agus Andi                                            ,Jl. Raya Bengkulu-Manna Km 26, 0-081377537106
Bengkulu,Klinik Pratama,4010003,Bhayangkara Medika 9                                            ,Jalan Raya Bengkulu Manna Km 6, 0736-91098
Bengkulu,Apotek,0401A021,If Rsud Tais                                            ,Jl bengkulu Manna KM 64,81539217871
Bengkulu,Rumah Sakit,0402R003,RSUD Kaur                                            ,Jalan Raya Lintas Barat, 0739-61202
Bengkulu,Puskesmas,4020001,Tetap                                            ,Desa Tetap, 0-081384187143
Bengkulu,Klinik Utama,0402U008,dr. Leppi Agung Wahyudi                                            ,Desa Air Dingin,81314896721
Bengkulu,Klinik Pratama,4020004,Bhayangkara Medika 11                                            ,Jalan Lintas Barat Sumatera , 0737-71613
Bengkulu,Apotek,0402A011,If Rsud Kaur                                            ,Jl Desa Cahaya Batin,73661202
Bengkulu,Rumah Sakit,0440R001,RSUD Lebong                                            ,Jln. Muning Agung,85268284684
Bengkulu,Puskesmas,4400002,Suka Datang                                            ,Kompleks Perkantoran Jalur Dua,85368456918
Bengkulu,Klinik Utama,0440U002,Dr. Anggi Christian                                            ,Jl. Pariwisata I No. 20 Lebong,85267262700
Bengkulu,Klinik Pratama,4400005,Bhayangkara Medika 10                                            ,JL. Raya Muara Aman-Argamakmur,85267262700
Bengkulu,Apotek,0440A003,Insfar Rsud Lebong                                    ,Jl. Raya Muara Amam - Curup, 0852-6715751
Bengkulu,Rumah Sakit,0708R001,RSUD Kepahiang                                            ,Jl.Raya Kepahiang-Bengkulu Km , 0732-391425
Bengkulu,Puskesmas,7070104,Embong Ijuk                                            ,Desa Embong Ijuk,85664908812
Bengkulu,Klinik Utama,0441U001,"Febi Nursanda, Dr                                            ",Jl. Santoso No 148 Kepahiang,85273032477
Bengkulu,Klinik Pratama,4410001,Bhayangkara Medika 6                                            ,Jalan Aipda Muan (Kepahiang), 0821-7964876
Bengkulu,Apotek,0441A001,Apotek Naura                                            ,Jl. M. Jun Kel. Sejantung Kepa, 0-085273037800
Bengkulu,Rumah Sakit,0486R001,RSUD Bengkulu Tengah                                            ,Jalan Raya Bengkulu-Kepahiang , 0736-7342598
Bengkulu,Puskesmas,4860001,Karang Nanding                                            ,Desa Karang Nanding, 0853-78798005
Bengkulu,Klinik Utama,0486U001,dr. Imelda J. S. Tampubolon                                            ,"Desa Lubuk Sini, Kec.Taba Pena", 0-081361774745
Bengkulu,Klinik Pratama,0486B001,Klinik Rizky Medika                                            ,Desa Kembang Seri, 0-081381733307
Bengkulu,Apotek,0486A001,If Rsud Bengkulu Tengah                                            ,Jalan Raya Bengkulu-Curup KM36,81539213008
Lampung,Rumah Sakit,0098R003,Rumah Sakit Ibu Dan Anak Bunda                                            ,"Jl. Raden Intan No:36, Liwa", 0822-69152869
Lampung,Puskesmas,980504,Kebun Tebu                                            ,Jl. Pasar Kebun Tebu, 0-07243202061
Lampung,Klinik Utama,0098U001,dr. MADINA FIRDAUS                                            ,Jl. Simpang Gadis Margawiwitan, 0-07234760121
Lampung,Klinik Pratama,980002,Poskes 02.10.16 Liwa                                            ,Jl. R Intan, 0-21548
Lampung,Apotek,0098A002,Apotik Mitra Sehat                                            ,Jl. Raden Intan Sukamenanti, 0728-21223
Lampung,Rumah Sakit,0099R001,RSUD Kota Agung                                            ,Jl. Soekarno Hatta Islamic Cen, 0721-082880141
Lampung,Puskesmas,990004,Pasar Simpang                                            ,Jl.Cekhana  079 Keagungan,82175862015
Lampung,Klinik Utama,0099U503,dr. Theresia Hutabarat                                            ,Jl. Pasar Raya Wonosobo,81279415290
Lampung,Klinik Pratama,990011,Poskes 02.10.17 Tanggamus                                            ,Jl. I.R H.Juanda,722324871
Lampung,Apotek,0099A006,If Rs Panti Secanti                                    ,Raya Gisting, 0729-072934755
Lampung,Rumah Sakit,0100R008,RSUD Bandar Negara Husada                                    ,Kompleks Kota Baru Pemprov Lam, 0721-0721 5617
Lampung,Puskesmas,1000001,Way Sulan                                            ,Jl.H.Sunardi No.2,
Lampung,Klinik Utama,0100U072,dr. SUTJI. S.I. MENDROFA                                    ,"Jl. Raya Lintas Timur Km 0,5 B",85279780999
Lampung,Klinik Pratama,1000004,Poskes 02.10.15 Kalianda                                    ,Jl. Raya Lintas Sumatera,
Lampung,Apotek,0100A004,If Rsud Kalianda                                    ,Jl. Lettu Rohani No 14 B, 0727-072732215
Lampung,Rumah Sakit,0101R011,Rsia Mawar                                    ,Jl. Raya Lintas Timur Plangkaw, 0823-80651111
Lampung,Puskesmas,1010001,Rejo Katon                                            ,Jl. Raya Rejo Katon,81369485343
Lampung,Klinik Utama,0101U043,Hariyanti Subagio (JST)                                            ,Jl. Gunung Terang,
Lampung,Klinik Pratama,1010005,Poli Polres Lampung Timur                                            ,Jl. Letnan Adnan Sanjaya No.9, 0813-69785638
Lampung,Apotek,0101A019,If Rsia Mawar                                    ,Jl. Raya Lintas Timur Plangkaw,82380651111
Lampung,Rumah Sakit,0102R002,RS Mitra Mulia Husada                                            ,Proklamator Raya No.162-164, 0725-528801
Lampung,Puskesmas,1020104,Segala Mider                                            ,Jln. Pramuka,81379071432
Lampung,Dokter Praktik Perorangan,0102S001,Klinik Utama Rawat Inap Rahayu                                    ,Proklamator Raya No. 124 , 0725-528260
Lampung,Klinik Utama,0102U009,"Dr.Otniel Sriwidiatmoko,Mm                                            ",Jl. Raya Seputih Raman,85378035667
Lampung,Klinik Pratama,1020001,Poli Polres Lampung Tengah                                            ,Jl. Negara No. 1,85269587413
Lampung,Apotek,0102A102,If Rs Islam Asy Syifaa                                    ,Lintas Sumatera KM 65,
Lampung,Rumah Sakit,0103R003,RS Umum Handayani                                            ,Soekarno Hatta No.94 Kotabumi, 0724-328399
Lampung,Puskesmas,1030000,Mulyorejo                                            ,Desa Mulyorejo, 0-081379315355
Lampung,Dokter Praktik Perorangan,0103S002,Klinik Utama Tj. Baru Medika                                            ,Jl Sumber Jaya / Jl Lintas Liw,85279410025
Lampung,Klinik Utama,0103U029,dr. Siti Hantina Johan (JST)                                            ,Jl Yos Sudarso No.170, 0-81369100398
Lampung,Klinik Pratama,1030001,Poskes 02.10.09 Kotabumi                                            ,Jl. Bermawi Kotabumi,82319999902
Lampung,Apotek,0103A002,If Rsd Mayjend Hm Ryacudu                                    ,Jl. Jend. Sudirman No.02, 0724-22095
Lampung,Rumah Sakit,0104R004,RS Haji Kamino                                            ,Jl. Sriwijaya No. 56 , '081272095786
Lampung,Puskesmas,1041000,Gisting Jaya                                            ,Jl.Sudirman No.1, 62-08527929595
Lampung,Klinik Utama,0104U021,dr. Hendra Yuarfan                                            ,Jl. Pramuka No 207,81370482366
Lampung,Klinik Pratama,1040001,Poskes Dim 0427 Waykanan                                            ,Jl. Pandang,
Lampung,Apotek,0104A003,If Rs Za Pagar Alam                                    ,Lintas Sumatera KM 02,
Lampung,Rumah Sakit,0105R015,RS Penawar Medika                                    ,Jl. Lintas Timur Sumatera, 0726-7570122
Lampung,Puskesmas,1050003,Lebuh Dalam                                            ,Jl Lintas Timur,82282879182
Lampung,Klinik Pratama,1050007,Poskes Dim 0426 Tulang Bawang                                            ,Jl. S Lebuh Dalem,
Lampung,Apotek,0105A005,If Rsud Menggala                                    ,Lintas Timur KP. Baru Menggala,8126324206
Lampung,Rumah Sakit,0106R009,RSUD Dr A Dadi Tjokrodipo                                            ,Jl. Basuki Rahmat No. 73, 0721-471723
Lampung,Puskesmas,1060001,Permata Sukarame                                            ,Jl. Pulau Sebesi Sukarame,7217698031
Lampung,Dokter Praktik Perorangan,0106S001,Klinik Hemodialisa Lions                                            ,Jendral Suprapto No.51/37, 0721-240549
Lampung,Klinik Utama,0106U021,dr. Boy Zaghalul Zaini                                            ,Jl. Kimaja Blok B 3 Way Halim ,
Lampung,Klinik Pratama,1060004,Klinik Biddokkes Polda Lampung                                            ,Jl. Dr. Warsito No. 89,721356451
Lampung,Apotek,0106A005,If Rs Abdul Moeloek                                            ,Jl. Dr. Rivai No 6 B. Lampung, 0721-812726753
Lampung,Rumah Sakit,0107R004,Rsia Anugrah Medical Center                                            ,Kunang No 15 Kauman, 0725-43209
Lampung,Puskesmas,1070001,Yosodadi                                            ,Jl. Gatot Subroto, 0725-47779
Lampung,Dokter Praktik Perorangan,0107S002,Klinik Utama Azizah                                    ,Hanafiah No 64/75, 0811-727711
Lampung,Klinik Utama,0107U010,dr. EMI SULISTIYANI (JST)                                            ,Jl. P. Diponegoro No. 17 ,8127925721
Lampung,Klinik Pratama,1070004,Poskes 02.10.08 Metro                                            ,Jl. Imam Bonjol No.22,
Lampung,Apotek,0107A110,If Rsud Ahmad Yani                                    ,Jend. Ahmad Yani No 13,
Lampung,Rumah Sakit,0471R001,RSUD Pesawaran                                            ,Jl Raya Kedondong, 0721-081379793
Lampung,Puskesmas,8020702,Tegineneng                                            ,Jl. Lintas Sumatera No 70,81273104142
Lampung,Klinik Utama,0471U030,"dr. Ringgo Alfarisi, M. Kes                                    ",Jl. Ahmad Yani Km 20,85789667087
Lampung,Klinik Pratama,0471B000,Klinik Ridho Husada                                            ,Jl. Sendang No.91, 62-072194435
Lampung,Rumah Sakit,0493R001,RS Asy-Syfa Medika                                    ,Jl. Jend. Sudirman, 0724-351113
Lampung,Puskesmas,4930001,Candra Mukti                                            ,Jl. Pangeran Diponegoro,81379142714
Lampung,Klinik Utama,0493U003,dr. Edi Winarso (JST)                                            ,Jl. Jed. Sudirman,82180546060
Lampung,Klinik Pratama,0493B001,Klinik Ar-Raudah Medika                                            ,Marga Kencana, 0812 7875 1584
Lampung,Apotek,0493A001,Apotek Horas Farma                                    ,Jl.Jendral Sudirman , 0813-2820017
Lampung,Rumah Sakit,0494R001,RSUD Ragab Begawe Caram Mesuji                                    ,Jl. ZA. Pagar Alam , 0812-71161198
Lampung,Puskesmas,1050001,Adi Luhur                                            ,Jl. Poros Adi Luhur,85377785061
Lampung,Klinik Utama,0494U001,Dr. Angga Wahyu Triwibowo                                            ,Jl. Za Pagar Alam No. 195,85384527452
Lampung,Klinik Pratama,0494B001,Klinik Bunda Dara Medika                                            ,Jalan Lintas Rawa Jitu,82186060888
Lampung,Apotek,0494A001,If Rsud Ragab Begawe Caram                                    ,Jl. ZA. Pagar Alam,81369969996
Lampung,Rumah Sakit,0511R000,Wismarini (Jst)                                            ,Jl Wisma Rini No 1, 0729-072921096
Lampung,Puskesmas,5110001,Rejosari                                            ,Jl. Hayani No. 119 Rejosi,82180368677
Lampung,Klinik Utama,0511U000,dr. ULINNOHA (JST)                                            ,Jl. A Yani No 10, 0729-23381
Lampung,Klinik Pratama,0099B003,Klinik Bina Husada                                            ,Jl. Raya Pagelaran, (0729)7374395
Lampung,Apotek,0511A001,ifrs RSUD pringsewu                                    ,Jl. Kesehatan No 136 Pringsewu, 0729-23582
Lampung,Puskesmas,980001,Bengkunat Belimbing                                            ,Jl.Pelabuhan Pekon Kotajawa, 0-085379997080
Lampung,Klinik Utama,0098U004,dr.Edwin Haryadi Ma'as                                            ,Jl. Jaya Wijaya No. 121, 0-081379225100
Lampung,Apotek,0517A002,Apotek Dyna Agung Farma                                    ,Jl. Merdeka,
Kep. Bangka Belitung,Rumah Sakit,0108R006,Medika Stannia                                            ,Jenderal Sudirman No. 3, 0717-95837
